Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Angus Fraser "," 						  27.32 					"," 						  2.66 					"," 						  61.4 					","20.648456"
"Mike Gatting "," 						  79.25 					"," 						  2.52 					"," 						  188.0 					","79.4085"
"Norman Gifford "," 						  31.09 					"," 						  1.99 					"," 						  93.4 					","24.446067"
"Ashley Giles "," 						  40.60 					"," 						  2.86 					"," 						  85.1 					","33.01592"
"Graham Gooch "," 						  46.47 					"," 						  2.41 					"," 						  115.4 					","39.559911"
"Darren Gough "," 						  28.39 					"," 						  3.30 					"," 						  51.6 					","21.809198"
"David Gower "," 						  20.00 					"," 						  3.33 					"," 						  36.0 					","14.77"
"Tony Greig "," 						  32.20 					"," 						  2.77 					"," 						  69.5 					","25.0355"
"Steve Harmison "," 						  31.82 					"," 						  3.22 					"," 						  59.1 					","24.794144"
"Dean Headley "," 						  27.85 					"," 						  3.31 					"," 						  50.4 					","21.341455"
"Eddie Hemmings "," 						  42.44 					"," 						  2.46 					"," 						  103.1 					","35.191248"
