Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Friedel de Wet "," 						  31.00 					"," 						  2.61 					"," 						  71.0 					","23.07175"
"Jean-Paul Duminy "," 						  38.11 					"," 						  3.55 					"," 						  64.3 					","29.9423918333"
"AB de Villiers "," 						  52.00 					"," 						  3.05 					"," 						  102.0 					","43.2596666667"
"Clive Eksteen "," 						  61.75 					"," 						  1.92 					"," 						  192.0 					","58.4155"
"Steve Elworthy "," 						  34.15 					"," 						  3.07 					"," 						  66.6 					","26.0319758333"
"Aubrey Faulkner "," 						  26.58 					"," 						  3.09 					"," 						  51.5 					","19.489785"
"Cyril Francois "," 						  37.50 					"," 						  1.97 					"," 						  114.0 					","29.734375"
"Billy Frank "," 						  52.00 					"," 						  5.37 					"," 						  58.0 					","45.721"
"Eddie Fuller "," 						  30.36 					"," 						  2.11 					"," 						  86.2 					","22.632874"
"George Glover "," 						  28.00 					"," 						  2.58 					"," 						  65.0 					","20.454"
"Trevor Goddard "," 						  26.22 					"," 						  1.64 					"," 						  95.4 					","19.310156"
"Norman Gordon "," 						  40.35 					"," 						  2.46 					"," 						  98.3 					","31.880535"
"Robert Graham "," 						  42.33 					"," 						  3.17 					"," 						  80.0 					","33.6488225"
"Geoff Griffin "," 						  24.00 					"," 						  2.66 					"," 						  54.0 					","17.116"
"Alf Hall "," 						  22.15 					"," 						  2.25 					"," 						  59.0 					","15.4883875"
"Andrew Hall "," 						  35.93 					"," 						  3.23 					"," 						  66.6 					","27.7241868333"
"Glen Hall "," 						  94.00 					"," 						  3.03 					"," 						  186.0 					","93.8825"
"Clive Halse "," 						  43.33 					"," 						  2.65 					"," 						  97.8 					","34.6719438333"
"Martin Hanley "," 						  88.00 					"," 						  2.27 					"," 						  232.0 					","92.0846666667"
"Gerald Hartigan "," 						  141.00 					"," 						  3.35 					"," 						  252.0 					","162.06775"
"Nantie Hayward "," 						  29.79 					"," 						  3.42 					"," 						  52.2 					","22.458681"
"Frank Hearne "," 						  20.00 					"," 						  3.87 					"," 						  31.0 					","14.755"
"Peter Heine "," 						  25.08 					"," 						  2.24 					"," 						  67.0 					","17.92384"
"Claude Henderson "," 						  42.18 					"," 						  2.83 					"," 						  89.1 					","33.460691"
"Omar Henry "," 						  63.00 					"," 						  2.65 					"," 						  142.3 					","56.01855"
"Charles Hime "," 						  31.00 					"," 						  3.38 					"," 						  55.0 					","23.4721666667"
"Paul Harris "," 						  37.87 					"," 						  2.65 					"," 						  85.5 					","29.3713408333"
"David Ironside "," 						  18.33 					"," 						  1.67 					"," 						  65.7 					","12.4427095"
"Steven Jack "," 						  24.50 					"," 						  2.54 					"," 						  57.7 					","17.4823833333"
"Jacques Kallis "," 						  32.65 					"," 						  2.82 					"," 						  69.2 					","24.582185"
"Gus Kempis "," 						  19.00 					"," 						  2.71 					"," 						  42.0 					","13.1495833333"
"Justin Kemp "," 						  24.66 					"," 						  2.78 					"," 						  53.2 					","17.719854"
"Gary Kirsten "," 						  71.00 					"," 						  2.44 					"," 						  174.5 					","66.8346666667"
"Lance Klusener "," 						  37.91 					"," 						  2.64 					"," 						  86.0 					","29.41816"
"Johannes Kotze "," 						  40.50 					"," 						  3.53 					"," 						  68.8 					","32.137425"
"Frederick Kuys "," 						  15.50 					"," 						  3.10 					"," 						  30.0 					","10.7079166667"
"Rory Kleinveldt "," 						  42.20 					"," 						  3.79 					"," 						  66.7 					","33.9491966667"
"Tiger Lance "," 						  39.91 					"," 						  3.03 					"," 						  79.0 					","31.3193725"
"Charl Langeveldt "," 						  37.06 					"," 						  3.56 					"," 						  62.4 					","28.9982146667"
"Goofy Lawrence "," 						  18.28 					"," 						  2.30 					"," 						  47.6 					","12.4188226667"
"Charlie Llewellyn "," 						  29.60 					"," 						  3.71 					"," 						  47.7 					","22.5497733333"
"Bill Lundie "," 						  26.75 					"," 						  2.24 					"," 						  71.5 					","19.3580833333"
"Chud Langton "," 						  45.67 					"," 						  2.61 					"," 						  104.9 					","37.0863235"
"Mike Macaulay "," 						  36.50 					"," 						  1.58 					"," 						  138.0 					","29.8630833333"
