Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Bill Bowes "," 						  22.33 					"," 						  2.49 					"," 						  53.7 					","15.6901745"
"Geoff Boycott "," 						  54.57 					"," 						  2.42 					"," 						  134.8 					","46.972037"
"Bill Bradley "," 						  38.83 					"," 						  2.23 					"," 						  104.1 					","30.6090418333"
"Len Braund "," 						  38.51 					"," 						  2.85 					"," 						  80.9 					","29.9627055"
"Walter Brearley "," 						  21.11 					"," 						  3.05 					"," 						  41.4 					","15.0032288333"
"Johnny Briggs "," 						  17.75 					"," 						  2.35 					"," 						  45.1 					","12.0217791667"
"Bill Brockwell "," 						  61.80 					"," 						  3.18 					"," 						  116.4 					","53.66094"
"Hugh Bromley-Davenport "," 						  24.50 					"," 						  3.79 					"," 						  38.7 					","18.3378416667"
"Alan Brown "," 						  50.00 					"," 						  2.78 					"," 						  107.6 					","41.3683333333"
"David Brown "," 						  28.31 					"," 						  2.63 					"," 						  64.5 					","20.7347158333"
"Freddie Brown "," 						  31.06 					"," 						  2.57 					"," 						  72.4 					","23.1308996667"
"Simon Brown "," 						  69.00 					"," 						  4.18 					"," 						  99.0 					","61.5365"
"Claude Buckenham "," 						  28.23 					"," 						  3.01 					"," 						  56.2 					","20.8332695"
"Tim Bresnan "," 						  32.73 					"," 						  3.02 					"," 						  64.9 					","24.742789"
"Mark Butcher "," 						  36.06 					"," 						  3.60 					"," 						  60.0 					","28.1268"
"Harold Butler "," 						  17.91 					"," 						  2.33 					"," 						  46.0 					","12.1414875"
